Unnamed: 0,token,lemma_fll,lemma@POS,status,lemma,POS,tokenURI,sent_id,NER,RE_artikel,nested_RE_artikel
0,RES,964026,res@NN,lta-multiple-wfs-unique-lemma,res,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000001,0,,,
1,GESTAE,242071188,gestus@ADJ,lta-multiple-wfs-unique-lemma,gestus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000002,0,,,
2,A,612296239,ProperName@NE,lta-unique-wf,ProperName,NE,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000003,0,,,
3,FINE,753289064,ProperName@NE,lta-multiple-super-lemmata,ProperName,NE,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000004,0,,,
4,CORNELI,243265532,ProperName@NE,lta-unique-wf,ProperName,NE,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000005,0,B-PERS,RE-Cornelius_395,
5,TACITI,614225,Tacitus@NE,lta-multiple-wfs-unique-lemma,Tacitus,NE,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000006,0,I-PERS,RE-Cornelius_395,
6,Liber,1138502,liber@NN,lta-multiple-lemmata-unique-superlemma,liber,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000007,0,,,
7,XIV,498537770,NUMERAL@NUM,lta-unique-wf,NUMERAL,NUM,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000008,0,,,
8,Galli,243562244,Gallus@ADJ,lta-multiple-wfs-unique-lemma,Gallus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000009,0,B-PERS,RE-Constantius_5,
9,Caesaris,824007,caesaries@NN,lta-multiple-super-lemmata,caesaries,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000010,0,I-PERS,RE-Constantius_5,
10,saevitia,241477100,saevitia@NN,lta-multiple-wfs-unique-lemma,saevitia,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000011,0,,,
11,.,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000012,0,,,
12,[,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000013,1,,,
13,1,241346596,NUMERAL@NUM,lta-unique-wf,NUMERAL,NUM,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000014,1,,,
14,],PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000015,1,,,
15,1,241346596,NUMERAL@NUM,lta-unique-wf,NUMERAL,NUM,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000016,1,,,
16,Post,109618,post@AP,lta-unique-wf,post,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000017,1,,,
17,emensos,993503,emensus@NN,lta-multiple-wfs-unique-lemma,emensus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000018,1,,,
18,insuperabilis,2529015,insuperabilis@ADJ,lta-multiple-wfs-unique-lemma,insuperabilis,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000019,1,,,
19,expeditionis,1015895,expeditio@NN,lta-unique-wf,expeditio,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000020,1,,,
